"No.","Time","Source","Destination","Protocol","Length","Info"
"392","1.069990","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"393","1.069990","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"394","1.069990","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","DNS","225","Standard query response 0x46b2 A fp.msedge.net CNAME 1.perf.msedge.net CNAME a-0019.a-msedge.net CNAME a-0019.a.dns.azurefd.net CNAME a-0019.standard.a-msedge.net A 204.79.197.222"
"395","1.070822","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","DNS","269","Standard query response 0xc4e8 HTTPS fp.msedge.net CNAME 1.perf.msedge.net CNAME a-0019.a-msedge.net CNAME a-0019.a.dns.azurefd.net CNAME a-0019.standard.a-msedge.net SOA ns1.a-msedge.net"
"396","1.071044","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"397","1.071297","192.168.31.102","204.79.197.222","TCP","66","58533  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"398","1.091054","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"399","1.100399","192.168.31.102","144.196.161.48","RTCP","118","Receiver Report   "
"400","1.110864","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"401","1.130294","192.168.31.102","144.196.161.48","UDP","165","56532  >  5004 Len=123"
"402","1.130357","192.168.31.102","144.196.161.48","UDP","92","56532  >  5004 Len=50"
"403","1.130970","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"404","1.136637","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"405","1.136637","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"406","1.136637","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"407","1.136637","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"408","1.136637","204.79.197.222","192.168.31.102","TCP","66","443  >  58533 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1282 WS=256 SACK_PERM"
"409","1.136637","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"410","1.136734","192.168.31.102","204.79.197.222","TCP","54","58533  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"411","1.137077","192.168.31.102","204.79.197.222","TCP","1336","58533  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1282 [TCP PDU reassembled in 412]"
"412","1.137077","192.168.31.102","204.79.197.222","TLSv1.3","495","Client Hello (SNI=fp.msedge.net)"
"413","1.151021","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"414","1.163907","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"415","1.163907","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"416","1.163907","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"417","1.170882","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"418","1.170959","192.168.31.102","144.196.161.48","UDP","168","56532  >  5004 Len=126"
"419","1.170993","192.168.31.102","144.196.161.48","UDP","404","56532  >  5004 Len=362"
"420","1.179933","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"421","1.187156","144.196.161.48","192.168.31.102","UDP","102","5004  >  56532 Len=60"
"422","1.188528","204.79.197.222","192.168.31.102","TCP","54","443  >  58533 [ACK] Seq=1 Ack=1724 Win=4194560 Len=0"
"423","1.191025","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"424","1.192029","204.79.197.222","192.168.31.102","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"425","1.192618","192.168.31.102","204.79.197.222","TLSv1.3","623","Change Cipher Spec, Client Hello (SNI=fp.msedge.net)"
"426","1.211082","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"427","1.231078","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"428","1.234634","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"429","1.234634","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"430","1.234634","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"431","1.234634","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"432","1.234634","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"433","1.234634","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"434","1.251012","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"435","1.269030","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"436","1.269030","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"437","1.269030","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"438","1.269030","204.79.197.222","192.168.31.102","TCP","54","443  >  58533 [ACK] Seq=100 Ack=2293 Win=4194048 Len=0"
"439","1.269030","204.79.197.222","192.168.31.102","TLSv1.3","1336","[TCP Previous segment not captured] , Continuation Data"
"440","1.269030","204.79.197.222","192.168.31.102","TLSv1.3","1336","Continuation Data"
"441","1.269103","192.168.31.102","204.79.197.222","TCP","66","[TCP Dup ACK 425#1] 58533  >  443 [ACK] Seq=2293 Ack=100 Win=65280 Len=0 SLE=1382 SRE=3946"
"442","1.269407","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"443","1.269411","204.79.197.222","192.168.31.102","TLSv1.3","528","Continuation Data"
"444","1.269411","204.79.197.222","192.168.31.102","TCP","1336","[TCP Out-Of-Order] 443  >  58533 [ACK] Seq=100 Ack=2293 Win=4194048 Len=1282"
"445","1.269426","192.168.31.102","204.79.197.222","TCP","66","[TCP Dup ACK 425#2] 58533  >  443 [ACK] Seq=2293 Ack=100 Win=65280 Len=0 SLE=1382 SRE=4420"
"446","1.269459","192.168.31.102","204.79.197.222","TCP","54","58533  >  443 [ACK] Seq=2293 Ack=4420 Win=65280 Len=0"
"447","1.270128","192.168.31.102","204.79.197.222","TLSv1.3","128","Application Data"
"448","1.270286","192.168.31.102","204.79.197.222","TLSv1.3","146","Application Data"
"449","1.270426","192.168.31.102","204.79.197.222","TLSv1.3","1106","Application Data"
"450","1.270857","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"451","1.275781","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"452","1.275781","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"453","1.275781","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"454","1.275781","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"455","1.290196","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"456","1.291025","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"457","1.296437","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"458","1.300351","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"459","1.311047","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"460","1.311124","192.168.31.102","144.196.161.48","UDP","505","56532  >  5004 Len=463"
"461","1.330307","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"462","1.331009","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"463","1.343898","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"464","1.343898","204.79.197.222","192.168.31.102","TCP","66","443  >  58533 [ACK] Seq=4420 Ack=2367 Win=4194048 Len=0 SLE=2459 SRE=3511"
"465","1.343898","204.79.197.222","192.168.31.102","TCP","66","[TCP Dup ACK 464#1] 443  >  58533 [ACK] Seq=4420 Ack=2367 Win=4194048 Len=0 SLE=2459 SRE=3511"
"466","1.343898","204.79.197.222","192.168.31.102","TCP","66","[TCP Dup ACK 464#2] 443  >  58533 [ACK] Seq=4420 Ack=2367 Win=4194048 Len=0 SLE=2459 SRE=3511"
"467","1.343898","204.79.197.222","192.168.31.102","TCP","66","[TCP Dup ACK 464#3] 443  >  58533 [ACK] Seq=4420 Ack=2367 Win=4194048 Len=0 SLE=2459 SRE=3511"
"468","1.343898","204.79.197.222","192.168.31.102","TCP","54","443  >  58533 [ACK] Seq=4420 Ack=3511 Win=4194560 Len=0"
"469","1.343898","204.79.197.222","192.168.31.102","TLSv1.3","513","Application Data"
"470","1.343898","204.79.197.222","192.168.31.102","TLSv1.3","116","Application Data"
"471","1.343898","204.79.197.222","192.168.31.102","TLSv1.3","274","Application Data, Application Data"
"472","1.343898","204.79.197.222","192.168.31.102","TLSv1.3","85","Application Data"
"473","1.343898","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"474","1.343898","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"475","1.344000","192.168.31.102","204.79.197.222","TCP","54","58533  >  443 [ACK] Seq=3511 Ack=5192 Win=64512 Len=0"
"476","1.344688","192.168.31.102","204.79.197.222","TLSv1.3","85","Application Data"
"477","1.350445","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"478","1.351038","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"479","1.353284","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"480","1.371255","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"481","1.385001","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"482","1.385001","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"483","1.385001","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"484","1.385001","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"485","1.385001","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"486","1.385949","192.168.31.102","170.72.250.72","TLSv1.2","121","Application Data"
"487","1.390978","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"488","1.392563","144.196.161.48","192.168.31.102","RTCP","114","Receiver Report   "
"489","1.392563","144.196.161.48","192.168.31.102","RTCP","114","Receiver Report   "
"490","1.392813","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"491","1.403750","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"492","1.403750","144.196.161.48","192.168.31.102","UDP","121","5004  >  56532 Len=79"
"493","1.403750","204.79.197.222","192.168.31.102","TCP","54","443  >  58533 [ACK] Seq=5192 Ack=3542 Win=4194560 Len=0"
"494","1.403750","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"495","1.410975","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"496","1.430369","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"497","1.431025","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"498","1.433758","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"499","1.433758","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"500","1.433758","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"501","1.433758","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"502","1.433758","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"503","1.437485","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"504","1.437547","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"505","1.437578","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"506","1.440290","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"507","1.446560","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"508","1.446560","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"509","1.451025","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"510","1.470985","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"511","1.490980","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"512","1.491056","192.168.31.102","144.196.161.48","UDP","166","56532  >  5004 Len=124"
"513","1.491087","192.168.31.102","144.196.161.48","UDP","356","56532  >  5004 Len=314"
"514","1.491119","192.168.31.102","144.196.161.48","RTCP","118","Sender Report   "
"515","1.491140","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"516","1.509122","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"517","1.510976","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"518","1.520272","192.168.31.102","144.196.161.48","RTCP","98","Receiver Report   "
"519","1.531016","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"520","1.540269","192.168.31.102","144.196.161.48","RTCP","118","Sender Report   "
"521","1.540345","192.168.31.102","144.196.161.48","UDP","90","56532  >  5004 Len=48"
"522","1.540410","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"523","1.551079","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"524","1.551148","192.168.31.102","144.196.161.48","RTCP","70","Receiver Report   "
"525","1.555893","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"526","1.555938","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"527","1.555950","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"528","1.555960","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"529","1.555969","144.196.161.48","192.168.31.102","UDP","94","5004  >  56532 Len=52"
"530","1.555978","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"531","1.571148","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"532","1.591039","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"533","1.593283","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"534","1.593283","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"535","1.600331","192.168.31.102","144.196.161.48","RTCP","134","Receiver Report   "
"536","1.608538","192.168.31.102","144.196.161.48","UDP","427","56532  >  5004 Len=385"
"537","1.610817","192.168.31.102","144.196.161.48","UDP","129","56532  >  5004 Len=87"
"538","1.622642","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"539","1.622642","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
