"No.","Time","Source","Destination","Protocol","Length","Info"
"473","45.960717","192.168.31.102","172.217.26.46","UDP","1286","60486  >  443 Len=1244"
"474","45.960808","192.168.31.102","172.217.26.46","UDP","90","60486  >  443 Len=48"
"475","46.005571","172.217.26.46","192.168.31.102","UDP","72","443  >  60486 Len=30"
"476","46.005571","172.217.26.46","192.168.31.102","UDP","66","443  >  60486 Len=24"
"477","46.005837","192.168.31.102","172.217.26.46","UDP","76","60486  >  443 Len=34"
"478","46.112981","172.217.26.46","192.168.31.102","UDP","110","443  >  60486 Len=68"
"479","46.112981","172.217.26.46","192.168.31.102","UDP","63","443  >  60486 Len=21"
"480","46.113274","192.168.31.102","172.217.26.46","UDP","78","60486  >  443 Len=36"
"481","46.189014","172.217.26.46","192.168.31.102","UDP","67","443  >  60486 Len=25"
"482","46.286281","fe80::16ac:60ff:fee8:449b","ff02::1","ICMPv6","150","Router Advertisement from 14:ac:60:e8:44:9b"
