"No.","Time","Source","Destination","Protocol","Length","Info"
"333","2.462882","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"334","2.462908","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"335","2.463849","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"336","2.463878","192.100.19.215","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"337","2.463970","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"338","2.464926","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"339","2.464956","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"340","2.465816","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"341","2.465830","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"342","2.466454","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"343","2.467398","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"344","2.468491","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"345","2.468506","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"346","2.469755","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"347","2.469784","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"348","2.469799","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"349","2.470547","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"350","2.471725","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"351","2.471759","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"352","2.471773","192.100.19.215","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"353","2.473415","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"354","2.473432","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"355","2.474319","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"356","2.474336","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"357","2.475245","192.100.19.215","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"358","2.475354","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"359","2.476144","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"360","2.476174","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"361","2.477062","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"362","2.477094","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"363","2.478244","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"364","2.478277","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"365","2.478292","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"366","2.478646","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"367","2.479757","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"368","2.479787","192.100.19.215","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"369","2.480703","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"370","2.480747","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"371","2.480761","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"372","2.481618","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"373","2.481651","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"374","2.482456","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"375","2.483495","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"376","2.483528","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"377","2.483848","192.100.19.215","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"378","2.559406","192.100.15.249","224.0.0.22","IGMPv3","60","Membership Report / Leave group 239.255.255.250"
